Company Name,Layoff Date,Employees Affected,Ticker
"Cisco Systems, Inc.",1/17/2017,25,CSCO
"Cisco Systems, Inc.",1/20/2016,123,CSCO
"Cisco Systems, Inc.",10/10/2014,1005,CSCO
"Cisco Systems, Inc.",11/2/2016,42,CSCO
"Cisco Systems, Inc.",11/3/2015,126,CSCO
"Cisco Systems, Inc.",3/9/2017,115,CSCO
"Cisco Systems, Inc.",4/27/2016,83,CSCO
"Cisco Systems, Inc.",5/18/2017,250,CSCO
"Cisco Systems, Inc.",7/22/2015,192,CSCO
"Cisco Systems, Inc.",7/27/2017,9,CSCO
"Cisco Systems, Inc.",8/18/2016,899,CSCO
"Cisco Systems, Inc.",9/14/2015,20,CSCO
"Cisco Systems, Inc.",9/26/2017,310,CSCO
"Oracle America, Inc.",10/31/2017,964,ORCL
"Oracle America, Inc.",3/20/2017,441,ORCL
Symantec Corporation,1/17/2018,33,SYMC
Symantec Corporation,10/1/2014,2,SYMC
Symantec Corporation,10/4/2017,21,SYMC
Symantec Corporation,11/2/2016,23,SYMC
Symantec Corporation,12/1/2014,25,SYMC
Symantec Corporation,12/1/2017,46,SYMC
Symantec Corporation,12/4/2015,44,SYMC
Symantec Corporation,2/1/2015,4,SYMC
Symantec Corporation,2/1/2017,87,SYMC
Symantec Corporation,2/10/2016,6,SYMC
Symantec Corporation,3/1/2015,85,SYMC
Symantec Corporation,3/30/2018,7,SYMC
Symantec Corporation,4/15/2015,7,SYMC
Symantec Corporation,4/25/2018,19,SYMC
Symantec Corporation,5/15/2015,30,SYMC
Symantec Corporation,6/1/2018,10,SYMC
Symantec Corporation,6/10/2015,4,SYMC
Symantec Corporation,6/10/2016,15,SYMC
Symantec Corporation,6/15/2014,12,SYMC
Symantec Corporation,6/18/2014,97,SYMC
Symantec Corporation,6/2/2017,36,SYMC
Symantec Corporation,6/28/2017,24,SYMC
Symantec Corporation,6/29/2018,4,SYMC
Symantec Corporation,7/13/2018,8,SYMC
Symantec Corporation,7/26/2017,20,SYMC
Symantec Corporation,7/8/2015,13,SYMC
Symantec Corporation,8/24/2016,77,SYMC
Symantec Corporation,8/7/2015,60,SYMC
Symantec Corporation,9/1/2017,14,SYMC
Symantec Corporation ,1/1/2015,12,SYMC
Intel Corporation,6/30/2018,65,INTC
Intel Corporation,12/31/2016,84,INTC
Intel Corporation,2/24/2017,54,INTC
Intel Corporation,5/31/2016,296,INTC
Intel Corporation,7/15/2015,165,INTC
Intel Corporation,8/15/2017,93,INTC
Broadcom Corporation,3/16/2015,60,AVGO
Broadcom Corporation,9/26/2014,75,AVGO
Broadcom Corporation,3/31/2016,663,AVGO
"Western Digital Technologies, Inc.",10/23/2015,56,WDC
"Western Digital Technologies, Inc.",10/24/2016,59,WDC
"Western Digital Technologies, Inc.",6/17/2016,71,WDC
"Western Digital Technologies, Inc.",6/2/2017,131,WDC
"Western Digital Technologies, Inc.",7/3/2016,337,WDC
"Western Digital Technologies, Inc.",8/27/2018,79,WDC
"Western Digital Technologies, Inc.",12/18/2015,109,WDC
ZYNGA INC.,1/30/2014,395,ZNGA
ZYNGA INC.,5/8/2015,180,ZNGA
"GoPro, Inc.",1/15/2016,77,GPRO
"GoPro, Inc.",1/4/2018,140,GPRO
"GoPro, Inc.",11/30/2016,138,GPRO
"GoPro, Inc.",3/14/2017,94,GPRO
Hewlett-Packard Company,7/1/2016,258,HPQ
Hewlett-Packard Company,10/2/2015,65,HPQ
Hewlett-Packard Company,10/24/2014,80,HPQ
Hewlett-Packard Company,2/13/2015,52,HPQ
Hewlett-Packard Company,4/11/2014,77,HPQ
Hewlett-Packard Company,5/16/2014,34,HPQ
Hewlett-Packard Company,6/12/2015,65,HPQ
Hewlett-Packard Company,6/13/2014,36,HPQ
Hewlett-Packard Company,8/1/2014,39,HPQ
Hewlett-Packard Company,11/21/2014,25,HPQ
Hewlett-Packard Company,7/11/2014,82,HPQ
Hewlett-Packard Company,1/22/2016,74,HPQ
"VMware, Inc",3/24/2015,114,VMW
"VMware, Inc",3/12/2018,159,VMW
"VMware, Inc",3/28/2016,170,VMW
Ericsson Inc.,10/21/2016,435,ERIC
"Space Systems/Loral, LLC",1/28/2016,122,N/A
"Space Systems/Loral, LLC",10/4/2014,53,N/A
"Space Systems/Loral, LLC",2/9/2017,161,N/A
"Space Systems/Loral, LLC",9/24/2015,90,N/A
"Space Systems/Loral, LLC",11/6/2014,57,N/A
"Space Systems/Loral, LLC",6/22/2017,173,N/A
Qualcomm Incorporated,2/11/2015,111,QCOM
Qualcomm Incorporated,11/20/2015,130,QCOM
Qualcomm Incorporated,6/19/2018,269,QCOM
Qualcomm Incorporated,8/13/2018,26,QCOM
"Brocade Communications Systems, Inc.",1/19/2018,308,N/A
"Brocade Communications Systems, Inc.",10/13/2017,96,N/A
"YourPeople, Inc. d/b/a Zenefits FTW",2/29/2016,83,N/A
"YourPeople, Inc. d/b/a Zenefits FTW",2/9/2017,254,N/A
"Citrix Systems, Inc.",4/3/2015,99,CTXS
"Citrix Systems, Inc.",1/18/2016,54,CTXS
"Citrix Systems, Inc.",12/4/2017,97,CTXS
"Citrix Systems, Inc.",3/7/2016,65,TWTR
"Twitter, Inc.",12/13/2015,240,TWTR
"Twitter, Inc.",12/27/2016,67,TWTR
Intuit Inc.,10/26/2015,55,INTU
Intuit Inc.,7/14/2014,21,INTU
Intuit Inc.,9/15/2014,72,INTU
Intuit Inc.,7/7/2014,7,INTU
Intuit Inc.,8/24/2015,132,INTU
Intuit Inc.,1/3/2014,7,INTU
General Electric Company,1/6/2018,158,GE
General Electric Company,5/22/2018,120,GE
"Autodesk, Inc.",2/1/2018,108,ADSK
"Autodesk, Inc.",2/1/2018,49,ADSK
"Autodesk, Inc.",4/10/2016,119,ADSK
AT&T,1/18/2016,92,T
AT&T,12/27/2016,102,T
AT&T,2/22/2016,102,T
AT&T,3/7/2016,2,T
AT&T,4/13/2015,74,T
AT&T,9/29/2015,219,T
AT&T,7/10/2015,89,T
Verizon,1/15/2018,190,VZ
Verizon,3/27/2017,60,VZ
Seagate US LLC,11/9/2015,62,STX
Seagate US LLC,9/1/2016,70,STX
Seagate US LLC,9/25/2017,95,STX
Plexus Corp,9/30/2016,204,PLXS
Corning Incorporated,11/11/2016,193,GLW
Corning Incorporated,6/29/2018,8,GLW
"Veritas Technologies, LLC",6/15/2016,6,N/A
"Veritas Technologies, LLC",11/15/2016,64,N/A
"Veritas Technologies, LLC",5/18/2016,128,N/A
"Puglia Engineering, Inc.",2/26/2017,184,N/A
Maxim Integrated Product,3/25/2016,150,MXIM
Maxim Integrated Product,9/10/2015,20,MXIM
Maxim Integrated Product,9/25/2015,11,MXIM
"Marvell Semiconductor, Inc.",4/16/2018,11,N/A
"Marvell Semiconductor, Inc.",3/12/2018,1,N/A
"Marvell Semiconductor, Inc.",1/3/2017,139,N/A
"Marvell Semiconductor, Inc.",11/10/2017,5,N/A
"Marvell Semiconductor, Inc.",12/11/2017,5,N/A
"Marvell Semiconductor, Inc.",12/15/2015,12,N/A
"Marvell Semiconductor, Inc.",12/7/2017,4,N/A
"Marvell Semiconductor, Inc.",12/8/2017,1,N/A
"Marvell Semiconductor, Inc.",2/8/2016,13,N/A
"Marvell Semiconductor, Inc.",5/1/2017,29,N/A
"Marvell Semiconductor, Inc.",6/19/2017,1,N/A
"Marvell Semiconductor, Inc.",7/10/2017,8,N/A
"Marvell Semiconductor, Inc.",7/17/2017,2,N/A
"Marvell Semiconductor, Inc.",8/7/2017,4,N/A
"Marvell Semiconductor, Inc.",9/12/2017,7,N/A
"Marvell Semiconductor, Inc.",6/9/2017,12,N/A
KLA-Tencor Corporation,9/15/2015,213,KLAC
Hitachi Data Systems,4/28/2017,118,N/A
Hitachi Data Systems,7/14/2017,48,N/A
